wss.1004f30be305f33d28a1548e344f0e2e	111.97104\,84.16881\,0.0
wss.11666b64fa53ee4c635f2989c7524167	10.54628\,20.933609\,0.52072144
wss.1166897b6654b853fb08da8fdf80aee9	1517.65\,623.9459\,1517.65
wss.1166c209e067833ea44b6af22454453b	129.71548\,3.5990727\,249.8175
wss.116bcb3b43de74b9df9054bbcf5c6adc	98.39548\,112.72295\,96.58587
wss.11705ed6a5b1ed37f83d00225df18677	11.587024\,18.538515\,11.587024
wss.11725f8822b05378313776ca7c7efe4d	7.62\,24.606249\,33.02
wss.117450216bea0aefc8b92a60637b4064	0.8610778\,4.8762035\,0.8610778
wss.1178a3589bdbaf19ed0d804498912ba8	69.98981\,199.85812\,110.30349
wss.118083b82350b53cb23e7e4bd2944793	68.50937\,62.57189\,33.965816
wss.11832029ed477440e279c4dee8066f27	26.174742\,8.094282\,26.174742
wss.118644ba80aa5048ac59fb466121cd17	11.105435\,11.276778\,10.827004
wss.118886a00679ffc9322ed2ef5fc90e25	19.207796\,31.430939\,12.659683
wss.118a3c4acff53478af9a03c11330e718	72.09664\,134.54993\,66.443985
wss.118b78430192ee95e3f7a74e12a274ef	139.49983\,26.828974\,134.59991
wss.1191af0f64d011d5d67bf0abe6b24c95	40.64\,8.023352\,60.96
wss.119555fb4ed6493384d1ef0fd09b636c	165.86302\,81.493454\,224.82579
wss.1199a072702783fca326b007412ad4b1	1.5920734\,20.114399\,1.6031722
wss.119ddb219f69b1cc492d9da2668ec34c	63.13977\,97.06463\,65.67121
wss.11a094ea632449db32a756399014da6	166.05017\,16.60503\,184.50053
wss.11a0f60b9baaaf59968608843530f3d7	12.834036\,19.91966\,12.386089
wss.11b1afefc63ce066b7390053af83c864	85.79617\,109.06209\,3.6969738
wss.11b54e1530c17829ec4bb690ca24962	121.441315\,31.594273\,121.64057
wss.11b722334fe272e2b7802e8eb74a6704	193.36287\,88.82615\,242.27075
wss.11c36239d379d1d9bf242467bd7a4ffc	81.908905\,68.58\,81.908905
wss.11c785813efc4b8630eaaf40a8a562c1	7.942856\,12.959205\,7.942856
wss.11d2b7d8c377632bd4d8765e3910f617	50.722748\,71.770256\,43.69738
wss.11d5e99e8faa10ff3564590844406360	238.48116\,119.3041\,106.18329
wss.11db35134ded21f9b9d7c2fc41e80228	91.44002\,46.355\,21.58995
wss.11e515cd806010b974287c0ff7c0f69a	25.659088\,1.1508865\,18.60373
wss.11e98db089a66426ad5067eac75a07f7	136.5591\,39.91829\,37.921265
wss.11ed3f0b1a09a6f99ebe905ef4009f84	13.999989\,4.2593007\,13.999997
wss.11f1511799d033ff7962150cab9888d6	77.89123\,111.29875\,87.00614
wss.11fa9b044482814ef91663a74ccd2338	69.521706\,92.00691\,66.43808
wss.1218c5a132371fcb7b6fd5468f603b31	31.986492\,1.5905715\,31.910822
wss.12193ca7bef40d40a84aed1cd93567b2	98.01003\,90.09387\,75.3923
wss.121cf1ae08740534b8183a4a81361b94	75.36196\,28.44294\,48.842182
wss.1221201ed6aac041745b4b48c30a506e	8.269244\,18.124144\,11.146662
wss.12238fe70f20f94613048bc4381266fe	263.85504\,143.92093\,48.47337
wss.1223b9275d2a2edacd4833986a6efe96	101.24048\,84.80615\,79.1333
wss.122c2614d9b5b0bc3a00cfa3e3cb7dc5	71.5426\,58.76812\,64.22575
wss.123c5debc3bed09f1fdc97905708b8ea	55.330826\,129.48438\,47.891678
wss.123c9acf2f03169b66123e198876a388	35.364124\,55.2149\,23.671385
wss.124a5d334a76a95ac710265e1c552c85	209.23465\,151.4807\,220.97443
wss.12512248e7156f2b28057692a61ef053	83.82\,90.487495\,88.9
wss.125272be2901179883905d9105641cb5	27.06868\,34.957333\,23.146637
wss.1257976df3606918e6151088c69a31b2	34.723427\,26.724028\,29.99999
wss.125cb574977319c844b0e82e0204ffaa	39.653866\,62.881508\,39.050194
wss.125dd03219b9c4b54ce4c7044f859dd	10.110475\,26.95016\,139.23279
wss.12637d1f343b10c943a003664127a27a	44.45\,22.447655\,44.45
wss.126bc2de1d567f8587a1c16793982084	78.495514\,40.835278\,69.537575
wss.126c6ed6536880517c8489092272d18	11.226875\,7.99712\,8.065504
wss.1271008cb91e253bad5067eac75a07f7	141.44803\,28.73163\,29.099985
wss.12732a44b379023b36f48f84cffbe669	53.988037\,83.35002\,53.988037
wss.1276e45e4c314c39e70ce0944e08d28e	50.841576\,118.99796\,47.200333
wss.127a3b72784f610c5decd231aa7179c0	28.139145\,24.304295\,110.60012
wss.127aff49c9378499ae685ca100c909e8	45.97063\,49.054165\,45.97063
wss.127e1126411e0c8969cbec8c849925a	314.13577\,187.20345\,325.19315
wss.12811f9d9ca31586f383178a3696f29	177.43346\,126.008484\,98.2251
wss.12816c0d897c1473f648b8701583b123	8.143501\,17.288862\,2.8001022
wss.1284f68442d655653d2d28eadc37978a	69.56882\,30.12191\,109.49991
wss.1285f0a36d2836ba9b426f5f965c4d47	39.133102\,62.640335\,34.227234
wss.128ecbc10df5b05d96eaf1340564a4de	23.344688\,21.263037\,17.69119
wss.12917ced4d5465c5f08b8467bda831	85.61344\,163.78221\,52.577755
wss.1291c573a61eddce6645417f261885f4	78.909584\,167.79442\,63.362476
wss.1298634053ad50d36d07c55cf995503e	6.7766967\,17.776539\,14.378035
wss.12a565f8aecaafcbce41b639931f9ca1	24.525024\,37.510292\,16.84642
wss.12a64182bbaee7a12b2444829a3507de	156.21338\,58.31966\,46.864014
wss.12a73cdd42517d8f65331068961955c9	260.35675\,125.780464\,140.73358
wss.12aa2e17776fc141fdddc29bb3e72366	241.54395\,200.05042\,635.51
wss.12aa829de18f4e6ad5cb6d178687b980	38.478264\,60.539337\,38.478264
wss.12b8bed00b5a5c4f58c91b3c0df5fef	23.444214\,7.7978\,14.763748
wss.12bb4cd01d6e34908e506821bf7d2e2e	89.72922\,558.304\,105.07097
wss.12bfa757452ae83d4c5341ee07f41676	32.363075\,0.0\,44.49923
wss.12c0b15c8ed8a3edb039d8689a74349	38.47109\,60.54692\,38.47109
wss.12c1b3fa24cce3e75745b9fe8da12812	70.15498\,62.78844\,29.932838
wss.12c3a4561242a6fe840045f49392aafa	156.73459\,83.09144\,38.940285
wss.12d44fd814bc9b40ec2a7a1f5fe7365d	11.923435\,50.49053\,71.62929
wss.12d643221a3edaa4ab361b6be63163da	45.181133\,48.802414\,45.181087
wss.12d66fb050f08f66de266657cf7d5a9a	95.469635\,53.226147\,14.672522
wss.12d96d7eba8b23be1a83bb2623c06ea4	299.6103\,331.13977\,703.3438
wss.12ddd9e1fa8912ae1bfccceeaa1b7669	40.281315\,39.3754\,35.92028
wss.12df0535bb43633abdd9b7a602ec35ec	67.50426\,68.79767\,120.0939
wss.12e28d27e25d73545b7e7c731e3e1278	61.15696\,30.068548\,55.38744
wss.12e71d04b2cfff5677a9fab0a7234242	274.00504\,280.20264\,275.11755
wss.12eedf28d9a948556c1cd53dbc9f7b8e	12.480394\,43.921585\,107.378006
wss.12f1e4964078850cc7113d9e058b9db7	158.71336\,64.37924\,44.51985
wss.12f4d8c20ef311d988dcbe86402c7c15	109.54928\,103.56993\,94.99264
wss.12f73aad13ac53f57104cceeff1190e4	55.906807\,83.35109\,55.906807
wss.1308f3ff2e55eae4f1783a44a88d6274	58.326744\,99.39598\,63.510582
wss.130efc1031fe4450dc8c9a9abc47eed5	82.80243\,51.189026\,42.020874
wss.13123a44924ddd2fb9ecfc3b6497aac6	35.235794\,27.0074\,35.703514
wss.1316780d9b4a8ca71bb088904f7cb154	273.92053\,126.95971\,39.131348
wss.131d83137561c34a1654963ad1f2507c	128.45084\,283.4513\,127.778755
wss.1320733bad7f2cfd8fac6a8030e15671	81.28\,149.8506\,10.16
wss.132325926d85caa6d0c63a304a95442d	140.97\,40.173653\,53.203094
wss.1324cdd76d94a6cec7a3afc566c84174	8.848265\,9.298531\,15.484459
wss.13290e02935a82a22846fa729d90e125	60.587276\,38.033905\,44.03907
wss.132c26bffca731b2d1b043d67d0564f4	22.987946\,76.22074\,0.40871048
wss.132dd9e43e8184a63c7744a1a3d9dba0	50.86754\,60.96043\,24.97381
wss.132ffa7d607ffc53d810b14a81e12eca	148.78496\,55.794357\,56.292522
wss.13335c01414d6fd85af897847a7513ca	25.704071\,38.99906\,10.540731
wss.133c16fc6ca7d77676bb31db0358e9c6	61.6163\,116.096695\,28.748169
wss.133f2d360f9b8691f5ee22e800bb9145	219.01605\,67.2722\,90.491425
wss.13411c742ccd36b4eabad247a05ad956	171.52675\,77.966705\,93.56004
wss.1342351a82465eeef2cdad303f49c9f9	24.97185\,2.572062\,5.7654457
wss.134566ae853484b4f01a355e7890ec96	137.24544\,33.610996\,41.398678
wss.134f02ebd131483a51dcbc4ed8d9a49b	68.58\,103.11688\,68.58
wss.1353cedbb3989a5ffd3e1da8df8780a3	25.399899\,1.1112499\,40.63999
wss.1359d27a3d2dd1e6616b1821375380fe	144.02911\,49.993576\,59.516163
wss.135edda466e3b149df63d1c7e43c783f	114.48468\,30.054955\,114.47073
wss.1361850926bce33f84e64ea9646404ec	58.652466\,155.20302\,58.652466
wss.1362a7a9557aaaf2ee1d1f2a191c8dc3	4.738655\,4.7386684\,22.797615
wss.136ca0f40375aa26d56cc378741d37e8	402.64902\,0.0\,219.62675
wss.136ecacc784ae0abb05b1b33d7b95a86	31.235138\,1.8781447\,8.741158
wss.136ef91c95ca5c2d4b9a4e1a888c5f59	10.998614\,24.044136\,3.0134902
wss.136f324d97cbbbddaa9981fc7a12f6eb	81.95044\,53.026554\,51.33497
wss.1376723fa98487933f197465f86dea52	10.685928\,24.175854\,3.0675313
wss.137e78f5b0fdb666c325c205463de4b7	43.660423\,62.136993\,62.183952
wss.1383d18af610241f69d8d5b35c38db0d	63.801952\,96.16251\,59.446175
wss.1383dcbd17cbc474e43f40ae23b6b0db	90.736305\,110.67138\,6.045958
wss.138425ca49d27ad5d01673c7c57450c9	25.0\,154.99998\,25.0
wss.1389e932a2c776d83c143af07c12991a	40.802464\,8.892726\,40.60653
wss.13961f08fe5b4c549ef60e9225cbea3a	49.85268\,24.282145\,30.997353
wss.139af10e719186bddaa266217a65f9d7	42.182076\,29.810045\,40.535393
wss.13a4536a8c7dbc87e3f7a74e12a274ef	107.78039\,101.89395\,107.78044
wss.13a913b33fb29f7741f9f28bc4fa9522	22.483765\,36.536102\,22.483753
wss.13aa33650c706094732375ced502498	69.40984\,125.47991\,74.0017
wss.13add1d4cdcea59b73d0d75d212ea96b	18.139254\,2.9961503\,18.139256
wss.13af92fb42fdc0d774d5a6a8a8e5a2e	5.0910263\,25.002302\,36.23973
wss.13b21a14f05a33b5d1ca7d901a14ac37	301.06265\,294.29456\,408.32404
wss.13b365ef4887f5d388a942de43574033	51.041748\,78.32667\,51.041733
wss.13b48456dad49f8762edbb9e1af21a03	26.34267\,19.32751\,26.342667
wss.13b4f0c8e3e0ee254b70ab68e918c7e9	4.7016163\,17.31476\,1.4995828
wss.13bb9deed3f8646bc34335c1a2a9193f	145.7567\,151.17772\,43.40385
wss.13c18609602e4ced37b2bb75885cfc44	76.757965\,69.83337\,127.62475
wss.13c480eb5d2a1f4b71c690692c393680	63.861103\,144.28746\,63.861107
wss.13c8bf6b41e555b78821ad3452f1c8c9	16.437569\,116.39719\,16.437565
wss.13ce46c3ba8951bf4fb6842b3610149	3.9148564\,7.4555097\,0.8691169
wss.13d5f50d3c6547f89d7f930a71a4cc5d	26.687492\,17.399918\,77.57044
wss.13dbeeacdabce3b694658a0201ba0367	91.857\,185.50414\,54.87561
wss.13e16d7db78d89b3cec8a10ad1c084eb	147.13226\,553.731\,50.377884
wss.13ec920416ec5b7786d06929bacb135d	117.54307\,259.17627\,84.5452
wss.13f565d814bd5647adcda92177beb1f7	112.00082\,165.41826\,77.16583
wss.14001acf205ea91b2afaad8f8aa355eb	43.180023\,89.367065\,152.4
wss.1406f1f699148107c3c490f07ec71ff	91.98221\,57.550903\,19.746307
wss.141321434ea6f5aa3b08200028f31a6a	50.800056\,2.54\,29.739052
wss.141de0993dd1f2f24efc7e7114f1b9c5	91.25199\,117.54311\,96.764046
wss.141ec8366ab78901841b1fe31653b9a7	24.409927\,43.333218\,4.097367
wss.1423bde1b40d8d2f25ad20bb66839d61	12.400074\,3.8310623\,2.0034847
wss.1425e087abbd67afe3f7a74e12a274ef	18.780518\,645.53845\,588.0171
wss.142f1bd1987ce39e35836c728d324152	129.68051\,64.84037\,75.92497
wss.1438cbb6c92e0b061c19e7863a1c200b	182.54448\,57.078445\,109.625
wss.1444822d28a7f2632a526e2e9a7e9ae	42.907875\,71.870964\,90.106804
wss.144632b8f8f2c1f8201cbed672acdcde	20.857792\,24.90498\,12.000001
wss.1447b7ce0e27481efccbc35ad248e812	161.62839\,63.390137\,34.26715
wss.144adb2c599ab09698d5fc0473d00a1c	36.736816\,154.70355\,25.229523
wss.144af73b14ddcf9bd4ce7791dd1b1466	108.103584\,171.22375\,101.83657
wss.144bb8dd1756c4002bf47341dbd96eb	137.14938\,279.05338\,136.93745
wss.1452b2edf9ad18b48d481397d30db1b6	53.660797\,179.1722\,52.023598
wss.145b3e858ba17332bc4ac3caf16ef65	63.08052\,63.08053\,63.08053
wss.14624a2cc43aac50e3a031805ace4a99	159.56284\,86.77403\,159.56273
wss.14656fe47266b0eb88e7662971dc736f	19.0436\,60.271103\,61.873695
wss.1470c6423b877a0882fcee0c19bca00a	208.29211\,93.51179\,92.47862
wss.14726c2482a092d3a9fe1734a6086750	5.186862\,25.923767\,3.0548658
wss.14755c2ee8e693aba508f621166382b0	114.30189\,61.069733\,197.97021
wss.147cc06e62a3020e3401ec7170d72c6e	17.33334\,12.308924\,14.93988
wss.147e20704f56f7e94420f83b94fcc15e	854.22754\,1433.2174\,346.48193
wss.1481ab0f22540f6d1471cf7290b934a9	285.31598\,116.857704\,133.1482
wss.1482036d8ce3b51ffc0035da39bd5e1	108.21443\,60.77153\,108.21419
wss.1488c4dbdcd022e99de4fa6f98acbba8	231.09\,50.361683\,67.73328
wss.148c15134e44c39eb2f9870de6826588	148.25188\,102.348625\,101.14838
wss.14904414e110d49b74dfa265f936ad38	55.861656\,98.68893\,55.861656
wss.1492b65a4dedd2612a384701382c9079	301.4169\,150.70845\,15.070846
wss.149421736ce11d669ee497a5ad47013e	258.82617\,190.5\,38.10003
wss.14971ffb3e55de465f62684530a7799a	895.9568\,508.5004\,1309.2563
wss.149733a616f846a2b661587eebd6c4d7	90.519264\,60.69771\,16.873493
wss.14977bca24205cc2a6fee8e2140acec9	72.23965\,88.18085\,68.70383
wss.149a105979cad722c1467c54b9e09ce5	78.35535\,111.03834\,120.466034
wss.14a0e49caa52c64876b7125ca47291cb	4.436451\,10.98901\,45.006138
wss.14a8f8abe72c6966fd2d8538d9735dd9	99.394264\,89.59053\,74.20947
wss.14b892797c77fe165365e074365243d3	121.1834\,97.08363\,78.07959
wss.14bfcf4c6d3c5bc8585c90077b0e5177	68.70929\,153.6126\,1.082868e-13
wss.14c40e5ccc4fe01d492d9da2668ec34c	75.29859\,116.65852\,82.001465
wss.14cbef4f4a67e57a4cf9c858305a22f8	35.06693\,102.36493\,23.3668
wss.14ce35d3ec22faee70d45c28bef72613	75.21865\,155.53336\,72.19009
wss.14d294a678561c367b72437fd995483b	83.603516\,106.59453\,73.15588
wss.14d31ee208e1823f48b9fefd9341bfa	11.260048\,4.207664\,11.260048
wss.14df58bdedfbb41141edb96d309c9a23	29.365171\,16.142748\,41.484062
wss.14e3023f03787b204a736b2733b8d89e	40.046844\,104.78282\,43.040916
wss.14e4cb9d8fd5c29f60467dddaf5cfe3f	21.907906\,21.907837\,21.907913
wss.14e5dba73b283dc7fe0939859a0b15ea	44.89853\,11.813988\,40.06263
wss.14e8504e664c872a831f2243b19a18a9	223.14064\,99.33988\,105.07816
wss.14e924565ea58a7645c6cb69e0968783	85.208824\,90.27358\,103.027054
wss.14f1b9eb86a7bbe7a65b8b8fbd95b204	56.322514\,58.669334\,65.70968
wss.14f309ee1b3e21a325e150307d932d74	59.999878\,41.299896\,40.299892
wss.14f4027490a165a6c017de3427505dac	140.18625\,165.93222\,116.3068
wss.14fc5be1b05c2c0be85794c56c95b203	46.229706\,31.342176\,31.346134
wss.14fd6547b099591c197217e886092ceb	180.02562\,233.6922\,72.225494
wss.14fee2a4df1f2acc2f0d0ffdb13e5665	48.509945\,64.53835\,43.203873
wss.1504bfa960e9b64f6210284aac251520	274.13788\,829.3178\,652.95776
wss.1505aa81e0f81ea9388fc6d898204358	24.915583\,17.952454\,24.843231
wss.1507e900a6079bcf31dd4a61076977ac	10.000006\,2.000001\,12.000001
wss.151916d8cacda1691c352d02061b3f7	53.175793\,150.05147\,31.788437
wss.151b2df36e08a13fafeeb1a322c90696	203.55688\,104.421616\,107.94359
wss.151fccb37c2d51b0b82fa571a1cdbf24	46.00334\,20.623981\,39.50228
wss.1522e8a4da7c05bd76d20e73c57c9a03	53.19968\,24.173426\,53.19968
wss.15290e3d21f429372af07afc7a68d50	197.42978\,139.37653\,73.52751
wss.152a850e5016fdd6e0771d4c079a0ec2	92.34704\,40.7767\,46.173595
wss.152d5ec41fde7549e1caf415acc56c13	21.091484\,34.526493\,21.091484
wss.152e101f3ab53701d810b14a81e12eca	106.03043\,68.036194\,106.03043
wss.152e29065cdeb44d810b14a81e12eca	243.84\,186.055\,60.96
wss.15330d6a853a08b1ab0b172d4dea80cd	42.269176\,30.241417\,37.428055
wss.1539b4cfe837d3e0f50772e7faf419f8	106.18715\,96.92399\,52.3166
wss.153e1abd93316e1348b32921f59859bf	68.58\,182.88\,68.58
wss.1546b89d61683acb803b54e9738b20a6	181.21501\,413.25885\,181.21501
wss.154850a7e93cc1a6eff860318f968925	169.99991\,453.8896\,1030.603
wss.154d29c6a51fbdf870a43c2d978e502e	53.254486\,29.680641\,41.902122
wss.155a08c8e150e7008c4f202fffc87396	116.09052\,43.508724\,82.23075
wss.155dfcdcc387b025492d9da2668ec34c	63.053547\,97.11655\,65.70617
wss.155e7a9e4a8a4407a5517442d05421cb	62.519897\,35.262123\,9.991516
wss.155ffb08fba5df33f0c6f578f0594c3	13.711819\,15.189589\,10.117994
wss.156481cdd1d72edf1f8114f2e0300864	58.42\,121.9299\,58.42
wss.1564c30fb4cc7979a8ff4f6e9563bff6	41.197914\,79.931\,53.34602
wss.15693e248e4950ba1271f7dd4fba29a	81.55336\,124.62732\,124.52199
wss.1569d227e71b903ffb906a2c84fd375f	86.88037\,61.923424\,28.10835
wss.156b55cd3d9a6757d239d19077185143	20.795933\,8.1973915\,35.52202
wss.15787789482f045d8add95bf56d3d2fa	12.839633\,33.284714\,12.839633
wss.15847850d132460f1fb05d58f51ec4fa	105.55372\,9.956594\,35.080925
wss.1589ca6e3cdc1d4abd7834b955162bf5	135.67062\,103.37055\,47.16168
wss.158b64ae73f514045071967803b3d7cf	22.703262\,76.45008\,28.93027
wss.158f4c9ed9e17d0e724d867867ccd9fb	59.919167\,13.909807\,38.519466
wss.159050197b7058b936c8b9bf2576aca2	131.46692\,64.9571\,72.68391
wss.15945d9f48aa097935836c728d324152	42.534546\,68.05528\,13.611053
wss.159e56c18906830278d8f8c02c47cde0	22.119518\,20.089376\,18.363865
wss.159ff1638d828ff26017ada71e028a7c	106.225464\,108.179276\,2.2304802
wss.15a3ec0c0b49d38abac4a1f24472e41d	90.62745\,104.63463\,10.366517
wss.15a69a068a47e7ea2d7a27ffaafaaddb	202.75412\,63.997643\,124.44019
wss.15abbd934724fb0cdb1364f1359cc3fb	34.849808\,0.5682034\,28.031368
wss.15ada01cd6482fb1e80df3c23687288a	59.04445\,93.88328\,170.2868
wss.15b5c54a8ddc84353a5acb1c5cbd19ff	55.094955\,64.89891\,85.51822
wss.15b84ef470ce4719f5e76bb242bc87a8	9.9715395\,17.096306\,9.971535
wss.15bae7fe612add11bf899e941ea0fe55	221.6039\,83.82785\,120.69024
wss.15bf6b28d7be7f1e788a73ba34bee167	148.14703\,78.862595\,69.385315
wss.15c18839ed79548e6c0fdc1f13e8ba32	81.29363\,48.58354\,81.29363
wss.15c43d52c1c50d373321831d2245cf06	320.64908\,87.21011\,241.25157
wss.15c98bfa322106a0d291861d5bc3e7c8	51.819054\,42.31017\,51.819122
wss.15cb4c1e6e1fde7be9186c52976f79ea	102.52872\,179.3792\,57.39947
wss.15ccc32c745e6994c58e834f0b160845	15.470784\,15.470784\,29.612589
wss.15d150706f5c13c7f053f79c36ca0522	149.99995\,149.99995\,149.99995
wss.15e21bb11cdb931a7fe25a99bc41347e	21.28543\,19.31149\,21.28543
wss.15e38eb29fb84898e7e684d25d4dcaf0	34.054905\,65.62379\,34.054913
wss.15e48edc69b6901b156c51ea86bb0add	658.9268\,3.100649e-13\,494.1951
