wss.1004f30be305f33d28a1548e344f0e2e	0.015031646
wss.111720e8cd4c613492d9da2668ec34c	0.002782579
wss.11183af410a81c186f525e79a05bbcb3	0.007758053
wss.111bdf14db7a16cd60467dddaf5cfe3f	0.001335529
wss.111cb08c8121b8411749672386e0b711	0.024690822
wss.112484c16b98270710d543c5222bbf6d	0.026397341
wss.1129a07c75f5a709cf004563556ddb36	0.016714976
wss.112e1ee87d1d12f814659d605ff53c6f	0.024589732
wss.11358c94662a68117e66b3e5c11f24d4	0.02922577
wss.1135ab554f69faeec19a59cdcb309b91	*
wss.113bc1faff8ba19668821642e9a54505	*
wss.114297d26314bd233e25c4a6e2e9361f	*
wss.11448f34681c545439f3410d5f76299b	0.01894672
wss.114509277e76e413c8724d5673a063a6	0.032988789
wss.114ada02ab35426af5afb395b99ae069	0.02766851
wss.114aff55d9933650a83967b36ab91a2e	0.02831154
wss.114f65a1635af7f862237730c52678c5	0.033571017
wss.115136d967aafb7d58a311513e993aad	0.024315458
wss.11525a18678f7ce6ae1e1181f20bb9c8	0.001943289
wss.1152a5db0db892286c52446b30bba6c	0.029630165
wss.1157469f751cef3384d8771179b91037	*
wss.1165e8de3cee9f706314698551cd43b	7.62e-04
wss.11666b64fa53ee4c635f2989c7524167	0.026009972
wss.1166897b6654b853fb08da8fdf80aee9	*
wss.1166c209e067833ea44b6af22454453b	0.043442823
wss.116bcb3b43de74b9df9054bbcf5c6adc	0.027332078
wss.11705ed6a5b1ed37f83d00225df18677	0.029429902
wss.11725f8822b05378313776ca7c7efe4d	*
wss.117450216bea0aefc8b92a60637b4064	3.32e-04
wss.1178a3589bdbaf19ed0d804498912ba8	0.029764533
wss.118083b82350b53cb23e7e4bd2944793	0.036538331
wss.11832029ed477440e279c4dee8066f27	0.032924866
wss.118644ba80aa5048ac59fb466121cd17	0.039810138
wss.118886a00679ffc9322ed2ef5fc90e25	0.069846531
wss.118a3c4acff53478af9a03c11330e718	0.023437526
wss.118b78430192ee95e3f7a74e12a274ef	*
wss.1191af0f64d011d5d67bf0abe6b24c95	*
wss.119555fb4ed6493384d1ef0fd09b636c	0.024352137
wss.1199a072702783fca326b007412ad4b1	0.03077874
wss.119ddb219f69b1cc492d9da2668ec34c	0.001984978
wss.11a094ea632449db32a756399014da6	0.023431557
wss.11a0f60b9baaaf59968608843530f3d7	2.86e-04
wss.11b1afefc63ce066b7390053af83c864	0.002586979
wss.11b54e1530c17829ec4bb690ca24962	0.01477072
wss.11b722334fe272e2b7802e8eb74a6704	0.026127257
wss.11c36239d379d1d9bf242467bd7a4ffc	*
wss.11c785813efc4b8630eaaf40a8a562c1	0.003195613
wss.11d2b7d8c377632bd4d8765e3910f617	0.016265422
wss.11d5e99e8faa10ff3564590844406360	0.021210145
wss.11db35134ded21f9b9d7c2fc41e80228	*
wss.11e515cd806010b974287c0ff7c0f69a	0.024357443
wss.11e98db089a66426ad5067eac75a07f7	0.01422483
wss.11ed3f0b1a09a6f99ebe905ef4009f84	*
wss.11f1511799d033ff7962150cab9888d6	0.029961715
wss.11fa9b044482814ef91663a74ccd2338	0.023110616
wss.1218c5a132371fcb7b6fd5468f603b31	0.001873924
wss.12193ca7bef40d40a84aed1cd93567b2	0.047874145
wss.121cf1ae08740534b8183a4a81361b94	0.030526363
wss.1221201ed6aac041745b4b48c30a506e	0.082303884
wss.12238fe70f20f94613048bc4381266fe	0.019989019
wss.1223b9275d2a2edacd4833986a6efe96	0.024525309
wss.122c2614d9b5b0bc3a00cfa3e3cb7dc5	0.002956306
wss.123c5debc3bed09f1fdc97905708b8ea	0.018137545
wss.123c9acf2f03169b66123e198876a388	0.013441478
wss.124a5d334a76a95ac710265e1c552c85	0.004398569
wss.12512248e7156f2b28057692a61ef053	*
wss.125272be2901179883905d9105641cb5	0.018547429
wss.1257976df3606918e6151088c69a31b2	*
wss.125cb574977319c844b0e82e0204ffaa	*
wss.125dd03219b9c4b54ce4c7044f859dd	0.004986919
wss.12637d1f343b10c943a003664127a27a	*
wss.126bc2de1d567f8587a1c16793982084	0.048423596
wss.126c6ed6536880517c8489092272d18	0.055682846
wss.1271008cb91e253bad5067eac75a07f7	0.01473417
wss.12732a44b379023b36f48f84cffbe669	0.037886374
wss.1276e45e4c314c39e70ce0944e08d28e	0.026058786
wss.127a3b72784f610c5decd231aa7179c0	0.002699742
wss.127aff49c9378499ae685ca100c909e8	0.019870685
wss.127e1126411e0c8969cbec8c849925a	*
wss.12811f9d9ca31586f383178a3696f29	0.017778975
wss.12816c0d897c1473f648b8701583b123	*
wss.1284f68442d655653d2d28eadc37978a	*
wss.1285f0a36d2836ba9b426f5f965c4d47	0.004698252
wss.128ecbc10df5b05d96eaf1340564a4de	0.003600542
wss.12917ced4d5465c5f08b8467bda831	0.018611615
wss.1291c573a61eddce6645417f261885f4	0.009960727
wss.1298634053ad50d36d07c55cf995503e	0.002893477
wss.12a565f8aecaafcbce41b639931f9ca1	0.037323672
wss.12a64182bbaee7a12b2444829a3507de	0.041656898
wss.12a73cdd42517d8f65331068961955c9	0.044682861
wss.12aa2e17776fc141fdddc29bb3e72366	*
wss.12aa829de18f4e6ad5cb6d178687b980	0.032578331
wss.12b8bed00b5a5c4f58c91b3c0df5fef	*
wss.12bb4cd01d6e34908e506821bf7d2e2e	0.023262667
wss.12bfa757452ae83d4c5341ee07f41676	0.040453844
wss.12c0b15c8ed8a3edb039d8689a74349	0.089990848
wss.12c1b3fa24cce3e75745b9fe8da12812	0.047518401
wss.12c3a4561242a6fe840045f49392aafa	9.32e-04
wss.12d44fd814bc9b40ec2a7a1f5fe7365d	0.024840489
wss.12d643221a3edaa4ab361b6be63163da	0.014406787
wss.12d66fb050f08f66de266657cf7d5a9a	0.001857281
wss.12d96d7eba8b23be1a83bb2623c06ea4	*
wss.12ddd9e1fa8912ae1bfccceeaa1b7669	0.002100762
wss.12df0535bb43633abdd9b7a602ec35ec	0.021441246
wss.12e28d27e25d73545b7e7c731e3e1278	0.046156196
wss.12e71d04b2cfff5677a9fab0a7234242	*
wss.12eedf28d9a948556c1cd53dbc9f7b8e	0.059133901
wss.12f1e4964078850cc7113d9e058b9db7	0.016796444
wss.12f4d8c20ef311d988dcbe86402c7c15	0.02921314
wss.12f73aad13ac53f57104cceeff1190e4	0.023645699
wss.1308f3ff2e55eae4f1783a44a88d6274	0.02804168
wss.130efc1031fe4450dc8c9a9abc47eed5	0.032872453
wss.13123a44924ddd2fb9ecfc3b6497aac6	0.025005232
wss.1316780d9b4a8ca71bb088904f7cb154	0.022087517
wss.131d83137561c34a1654963ad1f2507c	*
wss.1320733bad7f2cfd8fac6a8030e15671	*
wss.132325926d85caa6d0c63a304a95442d	*
wss.1324cdd76d94a6cec7a3afc566c84174	0.022120661
wss.13290e02935a82a22846fa729d90e125	0.033896801
wss.132c26bffca731b2d1b043d67d0564f4	0.009342025
wss.132dd9e43e8184a63c7744a1a3d9dba0	*
wss.132ffa7d607ffc53d810b14a81e12eca	0.026568742
wss.13335c01414d6fd85af897847a7513ca	0.020525822
wss.133c16fc6ca7d77676bb31db0358e9c6	0.035496737
wss.133f2d360f9b8691f5ee22e800bb9145	0.02106774
wss.13411c742ccd36b4eabad247a05ad956	0.025988901
wss.1342351a82465eeef2cdad303f49c9f9	0.003670248
wss.134566ae853484b4f01a355e7890ec96	0.023053441
wss.134f02ebd131483a51dcbc4ed8d9a49b	*
wss.1353cedbb3989a5ffd3e1da8df8780a3	*
wss.1359d27a3d2dd1e6616b1821375380fe	0.011903232
wss.135edda466e3b149df63d1c7e43c783f	0.020891372
wss.1361850926bce33f84e64ea9646404ec	0.024582333
wss.1362a7a9557aaaf2ee1d1f2a191c8dc3	0.036115037
wss.136ca0f40375aa26d56cc378741d37e8	0.015251858
wss.136ecacc784ae0abb05b1b33d7b95a86	*
wss.136ef91c95ca5c2d4b9a4e1a888c5f59	0.001032735
wss.136f324d97cbbbddaa9981fc7a12f6eb	0.030610844
wss.1376723fa98487933f197465f86dea52	0.006074797
wss.137e78f5b0fdb666c325c205463de4b7	0.004238135
wss.1383d18af610241f69d8d5b35c38db0d	0.020719233
wss.1383dcbd17cbc474e43f40ae23b6b0db	0.031611364
wss.138425ca49d27ad5d01673c7c57450c9	*
wss.1389e932a2c776d83c143af07c12991a	0.011788905
wss.13961f08fe5b4c549ef60e9225cbea3a	0.00476313
wss.139af10e719186bddaa266217a65f9d7	0.001239971
wss.13a4536a8c7dbc87e3f7a74e12a274ef	2.92e-04
wss.13a913b33fb29f7741f9f28bc4fa9522	0.049963897
wss.13aa33650c706094732375ced502498	0.024628581
wss.13add1d4cdcea59b73d0d75d212ea96b	0.001844818
wss.13af92fb42fdc0d774d5a6a8a8e5a2e	0.002128558
wss.13b21a14f05a33b5d1ca7d901a14ac37	*
wss.13b365ef4887f5d388a942de43574033	0.021234657
wss.13b48456dad49f8762edbb9e1af21a03	9.70e-04
wss.13b4f0c8e3e0ee254b70ab68e918c7e9	0.019788299
wss.13bb9deed3f8646bc34335c1a2a9193f	0.018237539
wss.13c18609602e4ced37b2bb75885cfc44	0.019828922
wss.13c480eb5d2a1f4b71c690692c393680	0.03049005
wss.13c8bf6b41e555b78821ad3452f1c8c9	0.012279853
wss.13ce46c3ba8951bf4fb6842b3610149	*
wss.13d5f50d3c6547f89d7f930a71a4cc5d	0.003039737
wss.13dbeeacdabce3b694658a0201ba0367	0.023858962
wss.13e16d7db78d89b3cec8a10ad1c084eb	0.021326654
wss.13ec920416ec5b7786d06929bacb135d	*
wss.13f565d814bd5647adcda92177beb1f7	0.022741283
wss.14001acf205ea91b2afaad8f8aa355eb	*
wss.1406f1f699148107c3c490f07ec71ff	0.025550619
wss.141321434ea6f5aa3b08200028f31a6a	*
wss.141de0993dd1f2f24efc7e7114f1b9c5	0.015145571
wss.141ec8366ab78901841b1fe31653b9a7	0.008310043
wss.1423bde1b40d8d2f25ad20bb66839d61	0.004374323
wss.1425e087abbd67afe3f7a74e12a274ef	*
wss.142f1bd1987ce39e35836c728d324152	0.022255989
wss.1438cbb6c92e0b061c19e7863a1c200b	0.015639601
wss.1444822d28a7f2632a526e2e9a7e9ae	0.027246555
wss.144632b8f8f2c1f8201cbed672acdcde	*
wss.1447b7ce0e27481efccbc35ad248e812	0.021074754
wss.144adb2c599ab09698d5fc0473d00a1c	0.015941063
wss.144af73b14ddcf9bd4ce7791dd1b1466	0.039794584
wss.144bb8dd1756c4002bf47341dbd96eb	0.163771392
wss.1452b2edf9ad18b48d481397d30db1b6	0.023101378
wss.145b3e858ba17332bc4ac3caf16ef65	0.021026843
wss.14624a2cc43aac50e3a031805ace4a99	0.018838119
wss.14656fe47266b0eb88e7662971dc736f	4.07e-05
wss.1470c6423b877a0882fcee0c19bca00a	0.023669557
wss.14726c2482a092d3a9fe1734a6086750	2.23e-04
wss.14755c2ee8e693aba508f621166382b0	0.015315293
wss.147cc06e62a3020e3401ec7170d72c6e	0.013697264
wss.147e20704f56f7e94420f83b94fcc15e	*
wss.1481ab0f22540f6d1471cf7290b934a9	0.048313859
wss.1482036d8ce3b51ffc0035da39bd5e1	0.025239694
wss.1488c4dbdcd022e99de4fa6f98acbba8	0.039843102
wss.148c15134e44c39eb2f9870de6826588	0.029666269
wss.14904414e110d49b74dfa265f936ad38	0.037241105
wss.1492b65a4dedd2612a384701382c9079	0.031899953
wss.149421736ce11d669ee497a5ad47013e	*
wss.14971ffb3e55de465f62684530a7799a	*
wss.149733a616f846a2b661587eebd6c4d7	0.009374163
wss.14977bca24205cc2a6fee8e2140acec9	0.025424768
wss.149a105979cad722c1467c54b9e09ce5	0.023943576
wss.14a0e49caa52c64876b7125ca47291cb	0.001017605
wss.14a8f8abe72c6966fd2d8538d9735dd9	0.031423382
wss.14b892797c77fe165365e074365243d3	*
wss.14bfcf4c6d3c5bc8585c90077b0e5177	*
wss.14c40e5ccc4fe01d492d9da2668ec34c	0.002985824
wss.14cbef4f4a67e57a4cf9c858305a22f8	0.004907424
wss.14ce35d3ec22faee70d45c28bef72613	0.016117447
wss.14d294a678561c367b72437fd995483b	0.053088363
wss.14d31ee208e1823f48b9fefd9341bfa	4.90e-04
wss.14df58bdedfbb41141edb96d309c9a23	0.001199558
wss.14e3023f03787b204a736b2733b8d89e	0.074350121
wss.14e4cb9d8fd5c29f60467dddaf5cfe3f	9.85e-04
wss.14e5dba73b283dc7fe0939859a0b15ea	0.001298997
wss.14e8504e664c872a831f2243b19a18a9	0.006107511
wss.14e924565ea58a7645c6cb69e0968783	0.033072671
wss.14f1b9eb86a7bbe7a65b8b8fbd95b204	0.023467733
wss.14f309ee1b3e21a325e150307d932d74	*
wss.14f4027490a165a6c017de3427505dac	1.231051626
wss.14fc5be1b05c2c0be85794c56c95b203	0.019902321
wss.14fd6547b099591c197217e886092ceb	0.036769486
wss.14fee2a4df1f2acc2f0d0ffdb13e5665	*
wss.1504bfa960e9b64f6210284aac251520	*
wss.1505aa81e0f81ea9388fc6d898204358	*
wss.1507e900a6079bcf31dd4a61076977ac	*
wss.151916d8cacda1691c352d02061b3f7	0.016083236
wss.151b2df36e08a13fafeeb1a322c90696	3.75e-04
wss.151fccb37c2d51b0b82fa571a1cdbf24	7.58e-04
wss.1522e8a4da7c05bd76d20e73c57c9a03	0.056602028
wss.15290e3d21f429372af07afc7a68d50	0.018614561
wss.152a850e5016fdd6e0771d4c079a0ec2	0.015231269
wss.152d5ec41fde7549e1caf415acc56c13	0.063296542
wss.152e101f3ab53701d810b14a81e12eca	0.035343479
wss.152e29065cdeb44d810b14a81e12eca	*
wss.15330d6a853a08b1ab0b172d4dea80cd	0.032514751
wss.1539b4cfe837d3e0f50772e7faf419f8	0.038530702
wss.153e1abd93316e1348b32921f59859bf	*
wss.1546b89d61683acb803b54e9738b20a6	0.010273682
wss.154850a7e93cc1a6eff860318f968925	*
wss.154d29c6a51fbdf870a43c2d978e502e	0.532544842
wss.155a08c8e150e7008c4f202fffc87396	0.024282671
wss.155dfcdcc387b025492d9da2668ec34c	0.001984607
wss.155e7a9e4a8a4407a5517442d05421cb	0.002258424
wss.155ffb08fba5df33f0c6f578f0594c3	4.81e-04
wss.156481cdd1d72edf1f8114f2e0300864	*
wss.1564c30fb4cc7979a8ff4f6e9563bff6	0.028169515
wss.15693e248e4950ba1271f7dd4fba29a	0.011486389
wss.1569d227e71b903ffb906a2c84fd375f	0.021634904
wss.156b55cd3d9a6757d239d19077185143	5.44e-04
wss.15787789482f045d8add95bf56d3d2fa	0.010699694
wss.15847850d132460f1fb05d58f51ec4fa	0.026792118
wss.1589ca6e3cdc1d4abd7834b955162bf5	0.025842015
wss.158b64ae73f514045071967803b3d7cf	0.015463225
wss.158f4c9ed9e17d0e724d867867ccd9fb	0.042799405
wss.159050197b7058b936c8b9bf2576aca2	0.021820237
wss.15945d9f48aa097935836c728d324152	0.043215189
wss.159e56c18906830278d8f8c02c47cde0	0.072895618
wss.159ff1638d828ff26017ada71e028a7c	0.016662791
wss.15a3ec0c0b49d38abac4a1f24472e41d	0.014331955
wss.15a69a068a47e7ea2d7a27ffaafaaddb	0.011867722
wss.15abbd934724fb0cdb1364f1359cc3fb	0.030304182
wss.15ada01cd6482fb1e80df3c23687288a	0.00138429
wss.15b5c54a8ddc84353a5acb1c5cbd19ff	0.019502632
wss.15b84ef470ce4719f5e76bb242bc87a8	*
wss.15bae7fe612add11bf899e941ea0fe55	0.02595489
wss.15bf6b28d7be7f1e788a73ba34bee167	0.037505576
wss.15c18839ed79548e6c0fdc1f13e8ba32	0.039684005
wss.15c43d52c1c50d373321831d2245cf06	0.042470606
wss.15c98bfa322106a0d291861d5bc3e7c8	0.032788924
wss.15cb4c1e6e1fde7be9186c52976f79ea	0.023371882
wss.15ccc32c745e6994c58e834f0b160845	*
wss.15d150706f5c13c7f053f79c36ca0522	*
wss.15e21bb11cdb931a7fe25a99bc41347e	0.015407259
wss.15e38eb29fb84898e7e684d25d4dcaf0	6.02e-04
wss.15e48edc69b6901b156c51ea86bb0add	*
wss.15e651b8b7a0c880ac13edc49a7166b9	0.040208741
wss.15eb3a0b0226597f678d1dca465a4efb	0.025162526
wss.15ebb1e7e6663cbfa242b893d7c243a	0.02935303
wss.15ec99bc74bd2a2b920e04a03858c931	0.020594445
wss.15f3b5aaac0a62ddd81f0237e26901c3	0.001251569
wss.15fb39da1ab90994a9504db65c138da5	0.00141038
wss.16001e59100b03c5fca0560918d50ea1	0.024787727
wss.160201dae8e1b5ed9f9eb74bba592196	*
wss.160684937ae737ec5057ad0f363d6ddd	0.044042945
wss.160b8adf0ee4d8a26e686498ed562f91	*
wss.160bb1d4dc0e3da62d3bec0463753a7a	*
wss.16171a8b574624844fe45bec5453e86f	*
wss.161be2d2421c18154e61d5e9018b6ba9	0.028581936
wss.161c91e07ad78de9e3f7a74e12a274ef	5.70e-04
wss.161e5e86fa48686888cad7f6c0e6001	0.011623443
wss.161f92c3330d111ffc2dd24b885b9c05	0.00986438
wss.162413f98e2184d35b801d9acf8d2f94	0.01121886
wss.1625299b6a0ea2ff7649cce35db393a1	0.037223305
wss.1629215db795111ba649bd1425725662	0.00724648
wss.16296c688e1c7fb9aa1091dc2d565d62	0.008305369
wss.163034d9b96201beba48c111b1850fd	0.033036657
wss.16327d928854b34ef11c3739edd52fa3	0.175581671
wss.1644df5fbb3b926029e82c550aa06a9d	0.001041817
wss.164b84d13b3d4650e096f6db40afe7bf	0.020386951
wss.164d5baf4135be7a98d5fc0473d00a1c	0.041154046
wss.16526d147e837c386829bf9ee210f5e7	3.41e-05
wss.1654250bf1bc5a0131fef20bb2ae787e	0.01582109
wss.1659db64bbf46bcdc1955ee4b5680e91	4.26e-04
wss.165c00d292773865ae6eaa32356aaf3b	0.032388235
wss.1666ce5ced647ed25d878ba9ec3c0d6a	0.01770765
wss.166875a5fe16d7c5404fcb83d703373	*
wss.166c3012a4b35768f51f77a6d7299806	0.022799405
wss.166c5b25e747d3f38b5797598d47d0af	0.038591774
wss.166f30c5d334f30d1c1ef519b9196b63	*
wss.16755fc794d5b2bb223a0abef958bcd0	0.017919406
wss.167f3edcf839000063ecd64ef0e6814c	0.025779277
wss.1684b58103c2f3cb1e85aace27a943de	3.87e-04
wss.16897b4f5720758492d9da2668ec34c	0.002490989
wss.1689f022a0b6bde55876947164cd256	0.024221922
wss.168bf21705d36e80b348b6ae87c988f	*
wss.168c1b54facf9acb7e98d00b6ebecc34	0.002176776
wss.16907a42ffafee5b72b92bd86ed3f51f	0.018798323
wss.169835070e90902ba480742f4529182b	*
wss.169f7193e5e843b91fadee939fd6d90f	*
wss.16a91700de9c32a98c1a083ca347f005	0.026417459
wss.16ac39c5f6486b4f4b67691a60194771	0.002769961
wss.16afaf11b6a9578444d3a157597f918b	0.004741024
wss.16b4dfae678239a42d470147ee1bb468	0.022979934
wss.16bb10ad445ecfdaa476d4febccee	0.005734628
wss.16bf5a2ebe4e259091e55026374c1a47	*
wss.16bfbe99ccb1ed2cf54e1b6f41fdd78a	0.022727935
wss.16c39375ac34adf37d47168999f25fa0	0.035492904
wss.16c6403551e81a3eeedfca8b846d3b01	4.38e-04
wss.16cc827a66868ff8f1f1df092810329	0.034390858
wss.16d076c7b81d04ac3f217b945a063dd2	*
wss.16d2017606945083324387582810ec10	1.98e-04
wss.16d620a3923a8bf1e5595fbfd7d35143	0.046183666
wss.16d8b1fde755f7f96bc5197cc4c47fe8	0.002792831
wss.16e1f75f36c6f3373ef60648e0c9b1e2	*
wss.16e2dcf80c8442b7796eef4bbed8ce96	0.029221341
wss.16e76e49a08a31aebb7ac4d22a68ec08	7.70e-04
wss.16e99bfc115e689e5c43d2b61614d0d0	*
wss.16edf6f6574568723f7198a00163bb6	*
wss.16eff9b1bc7fe22d49d3c3e3d26b9121	0.03513913
wss.16f4cc6d83eee3bb2cac591b548bcad5	*
wss.16fd88a99f7d4c857e484225f3bb4a8	0.019506551
wss.16febbf5498604acfb666b203f8cdb86	0.029364628
wss.17007e06a65de93b4f65dd993ec5afec	0.019921423
wss.17079f40cfdc719a3f7d5255ff865380	0.022399941
wss.170866af008ad73f9668a2190b689e04	0.006501426
wss.1710033fefac979deed60df91eb05a5b	0.00864804
wss.1711d1c1b42b183a520bdc486b0e8ebc	*
wss.1719198de32dafe595bb1f2248dfce00	7.87e-05
wss.17226b72d812ce47272b806070e7941c	0.032297232
wss.17287cc29880212560b51298383a9456	*
wss.1729448a8c1d39b3368c34d19170a090	0.030453155
wss.1730e6c6a37f19abefae06b5b9950833	0.046599407
wss.1741b6cc1f7ee1ec110c9032b6ff923d	0.009457311
wss.1743c2325f0ece59dfde16efa78844c8	*
wss.1744aaa40b6c9d3c422b3c76f4bd1d88	0.041259981
wss.175a75f11c8f005012fe747403d736eb	*
wss.176331ab6542bd406e3c8a33c4ddf2ef	0.047972652
wss.176c87aa66fcf8116ea2d79f658bbae7	0.001721036
wss.176e6b9b4340f25a7ff6ace05b36a5	0.032202555
wss.176ffca9f9f5d592cd8f3fe9ca2145e1	0.018120093
wss.1771bb5839afabd712b362dc2411f439	0.015559948
wss.177210476d1bd64bfcfb068b53672ee3	0.004991904
wss.1772711b91514cc4212ff51b27f0221	0.021397196
wss.1773dafc24ded61cea3aa8137e136b5c	0.001827012
wss.1775377671c2122ef647317afa6ffdd4	*
wss.177a08ed42aac860ee672c5001fdc971	0.034098288
wss.177ae9689e2920f764b7bfd6506cd3be	0.037302864
wss.17812e4b2ed86287b4a017870841c473	0.024657798
wss.1785410412e01bb9a054360a814c8008	0.020018551
wss.17870a3cccc0709ab610b0c94236463	0.033549013
wss.178cd433946816d9ab33b326a366d022	*
wss.17919b0e69c06bf235836c728d324152	0.017638116
wss.17a7a1a4761e9aa1d4bf2d5f775ffe5e	0.017518467
wss.17a95ccadaa7818db5e08197be0feebd	5.14e-04
wss.17aa537d3f70e0998c5d696f6e844329	*
wss.17b083510f14982b7eaeab1f0c9120b7	0.021721437
wss.17b6777fdd160136fcef8b04860a0b20	5.48e-04
wss.17b6b2b09458f1a435836c728d324152	0.063299397
wss.17b77403b80de623f1783a44a88d6274	0.031325297
wss.17bcf1946a944b0b62f1caf486821bab	*
wss.17c318cf53f978d22feb9fdea8e07927	0.004296427
wss.17c4dd8191c2c898bf37a318b55c6a3c	0.022986111
wss.17caba67f040b88928e5041383fe525	*
wss.17cba19c6eb02655086f69b146d7b59	0.004730772
wss.17e2d91dd7d6a07043dbb6421d614c0d	0.034858085
wss.17e958fa60740e4c3c143af07c12991a	0.181711963
wss.17e9fcb66348eacfd640c89a4b1a34c	*
wss.17ecaa23513996c034d6aa31914c287d	0.012600886
wss.17edd5c46ad3e2bc438e7da932675db	0.008245517
wss.17f0518e45bd8ed4a81be39668049aa6	*
wss.17f32bd314bd6315d4d8765e3910f617	0.01729589
wss.17f4b14ebbe37179ab2b7e9ed9191486	0.044140142
wss.17fb28fc98f1d23ff6c671f9e7ab953f	0.003444283
wss.17ff217a53ffcb20a1c637e821f12a67	0.032851724
wss.18024e9162e37f2b2dd4dc058a3527b	*
wss.18049cb71646955253d7642eccaa932a	*
wss.1809c4bedc302095642dc563aaf98d57	0.008020945
wss.180f5e2a874bceb1e4ba5fe92f32019a	0.006921228
wss.18145f4b303c37f11c3739edd52fa3	0.023598065
wss.181846dba8cfa3e91fc277ccdec7582	0.024203194
wss.181bccddb47e75511087b8c1da3f3ccc	3.67e-04
wss.181ec75aca2de25f6dbdf247ab8522eb	7.88e-04
wss.181f1d904e3e4837cae99329e0ceb5c2	*
wss.18203f5207373e31943adf61f60ea2f6	0.003248224
wss.1827454b8072d6a61fb05d58f51ec4fa	0.023413994
wss.18277a2b26cce4945932aa8e4205e707	0.012599973
wss.18299916ec3e95bff5ca1792a289ecf9	0.047962818
wss.18306958742f8bfbab0b172d4dea80cd	0.012418678
wss.1831169dbc70bc08cca5d7fbf4f17f56	0.012900906
wss.18371c836b01c024b41d52ced3f83dc3	0.03071248
